               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.025664,            0.070561,           0.0048689,             0.99626,                   1,               0.995,             0.80103,            0.020771,            0.075537,           0.0035216,            0.004555,            0.004555,            0.004555
                  57,            0.024788,            0.070664,           0.0047949,             0.99607,                   1,               0.995,             0.77639,            0.021774,            0.075091,            0.003434,            0.004456,            0.004456,            0.004456
                  58,            0.024837,             0.07005,           0.0048591,             0.99672,                   1,               0.995,             0.79036,            0.020286,            0.074116,           0.0034458,            0.004357,            0.004357,            0.004357
                  59,            0.024871,            0.069113,           0.0047592,             0.99637,                   1,               0.995,              0.8063,            0.019716,            0.074399,           0.0035238,            0.004258,            0.004258,            0.004258
                  60,            0.024499,            0.069404,           0.0047874,             0.99689,                   1,               0.995,             0.78209,            0.020922,             0.07497,           0.0034897,            0.004159,            0.004159,            0.004159
                  61,            0.024583,            0.069658,           0.0047576,             0.99646,                   1,               0.995,             0.80534,            0.020223,            0.075196,           0.0034961,             0.00406,             0.00406,             0.00406
                  62,            0.024256,            0.069438,           0.0046993,              0.9963,                   1,               0.995,             0.80635,            0.020806,            0.075912,           0.0034043,            0.003961,            0.003961,            0.003961
                  63,            0.024371,            0.070695,           0.0048113,             0.99706,                   1,               0.995,             0.80614,            0.020094,            0.073938,           0.0033511,            0.003862,            0.003862,            0.003862
                  64,            0.024751,             0.06941,           0.0047826,             0.99687,                   1,               0.995,             0.81026,            0.019857,            0.073266,           0.0032908,            0.003763,            0.003763,            0.003763
                  65,            0.024293,            0.069419,           0.0047626,             0.99659,                   1,               0.995,             0.80198,              0.0202,            0.075131,            0.003348,            0.003664,            0.003664,            0.003664
                  66,            0.023638,            0.069672,           0.0045802,             0.99565,                   1,               0.995,             0.80885,            0.019643,            0.075199,            0.003328,            0.003565,            0.003565,            0.003565
                  67,            0.023441,            0.068732,           0.0046814,             0.99712,                   1,               0.995,             0.81175,            0.019359,            0.073609,           0.0033546,            0.003466,            0.003466,            0.003466
                  68,            0.023816,            0.068684,           0.0046112,             0.99757,                   1,               0.995,             0.82412,            0.018864,            0.073155,           0.0032643,            0.003367,            0.003367,            0.003367
                  69,            0.023844,            0.068944,           0.0047076,             0.99575,                   1,               0.995,             0.81642,             0.01947,            0.072938,           0.0032277,            0.003268,            0.003268,            0.003268
                  70,             0.02389,            0.069575,           0.0047528,             0.99754,                   1,               0.995,             0.81127,            0.019615,            0.073204,           0.0033374,            0.003169,            0.003169,            0.003169
                  71,            0.023186,             0.06882,           0.0045918,             0.99716,                   1,               0.995,             0.81916,            0.018784,            0.072536,           0.0031794,             0.00307,             0.00307,             0.00307
                  72,            0.023037,            0.067678,           0.0046256,             0.99593,                   1,               0.995,             0.82128,            0.018889,            0.072462,            0.003165,            0.002971,            0.002971,            0.002971
                  73,            0.023253,            0.068828,           0.0046089,             0.99698,                   1,               0.995,             0.81411,            0.019385,            0.072821,           0.0031401,            0.002872,            0.002872,            0.002872
                  74,            0.023008,            0.069034,           0.0046031,              0.9974,                   1,               0.995,             0.82871,            0.019071,            0.072759,           0.0030435,            0.002773,            0.002773,            0.002773
                  75,            0.023328,            0.069084,           0.0046285,             0.99607,                   1,               0.995,             0.81723,            0.019242,            0.073899,           0.0030922,            0.002674,            0.002674,            0.002674
                  76,            0.022513,            0.066874,           0.0044369,             0.99597,                   1,               0.995,             0.82089,            0.019064,            0.072378,           0.0031173,            0.002575,            0.002575,            0.002575
                  77,            0.022216,            0.067275,           0.0044372,             0.99673,             0.99999,               0.995,             0.82511,            0.019013,            0.072295,           0.0030521,            0.002476,            0.002476,            0.002476
                  78,            0.022521,            0.068423,           0.0043773,             0.99408,             0.99769,               0.995,             0.82335,            0.018931,             0.07287,           0.0030837,            0.002377,            0.002377,            0.002377
                  79,            0.022227,             0.06773,           0.0042989,             0.99612,                   1,               0.995,              0.8143,             0.01949,              0.0724,           0.0030334,            0.002278,            0.002278,            0.002278
